고유번호,조사제목,입력수,조사시작,중간날짜,조사끝,광역,선거구,선거구_2,언론사,조사방법,가상번호 사용여부,ARS/전화면접,"응답자수(N, 응답완료사례수)",응답률,조사기관,후보자수,합계,더불어민주당,미래통합당,민생당,정의당,민중당,자유공화당,무소속1,무소속2,친박신당,열린민주당,바른미래당,국민의당,대안신당,민주평화당,국가혁명배당금당,새로운보수당,기타,없음,모름/무응답,사용하지 않음,비고,링크,질문 정리
6667,경기도 성남시 중원구 국회의원선거 비례대표국회의원선거 정당지지도 경기도 성남시 중원구 국회의원선거 지역후보 정당지지도,1,2020-03-13,2020-03-13,2020-03-13,경기,성남시 중원구,경기성남시중원구,중부일보,유무선혼합,사용,ARS,504,2.3,아이소프트뱅크,3,100,41.9,32.7,,,3.8,,,,,,,,,,,,4.4,9.2,8,,"윤영찬, 신상진, 김미희",https://www.nesdc.go.kr/files/result/202003/FILE_202003150241276440.pdf.htm,가상대결
6400,"경기도 성남시 중원구 국회의원선거 정당지지도 , 국회의원 적합도 등",1,2020-01-13,2020-01-14,2020-01-14,경기,성남시 중원구,경기성남시중원구,뉴스토마토,유무선혼합,사용,ARS,710,2.8,케이에스오아이 주식회사(한국사회여론연구소),3,100,34.6,31.2,,,6.7,,,,,,,,,,,,7.1,14.7,5.7,,"윤영찬, 신상진, 김미희",https://www.nesdc.go.kr/files/result/202003/FILE_202001170156072970.pdf.htm,가상대결
6496,경기도 성남시 중원구 국회의원선거 정당지지도 경기일보 제 21대 국회의원 선거 조사,1,2020-02-01,2020-02-02,2020-02-02,경기,성남시중원구,경기성남시중원구,경기일보,무선,사용,ARS,502,4.5,조원씨앤아이,2,100,48.6,29.6,,,3.9,,,,,,,,,,,,6.4,6.5,5,,"윤영찬, 신상진, 김미희",https://www.nesdc.go.kr/files/result/202003/FILE_202002030244082880.pdf.htm,다자대결1
6435,경기도 안양시 동안구 국회의원선거 정당지지도 경기일보 제 21대 국회의원 선거 여론조사,1,2020-01-19,2020-01-20,2020-01-20,경기,안양시 동안구 을,경기안양시동안구을,경기일보,무선,사용,ARS,501,5,조원씨앤아이,3,99.9,41.8,33.3,,6.4,,,,,,,5,,,,,,3.6,6.4,3.4,,"이재정, 심재철, 임재훈, 추혜선",https://www.nesdc.go.kr/files/result/202003/FILE_202001210450130230.pdf.htm,다자대결
6661,경기도 안양시 동안구 국회의원선거 비례대표국회의원선거 정당지지도 국정운영평가,1,2020-03-12,2020-03-13,2020-03-14,경기,안양시 동안구을,경기안양시동안구을,"KBS, 한국일보",유무선혼합,사용,전화면접,500,16.9,한국리서치,3,100.1,42.8,33.4,,5.5,,,,,,,,,,,,,4.2,2,12.2,,"이재정, 심재철, 추혜선",https://www.nesdc.go.kr/files/result/202003/FILE_202003150210012290.pdf.htm,가상대결
6561,경기도 안양시 동안구 국회의원선거 정당지지도 안양시 동안구을,1,2020-02-17,2020-02-18,2020-02-18,경기,안양시 동안구을,경기안양시동안구을,중부일보,유무선혼합,사용,ARS,501,1.1,아이소프트뱅크,4,100,41.6,36.8,,7.4,,,,,,,2.8,,,,,,3,2.8,5.6,,"이재정, 심재철, 추혜선, 임재훈",https://www.nesdc.go.kr/files/result/202003/FILE_202002190157038040.pdf.htm,가상대결
6512,광주광역시 광산구 국회의원선거 정당지지도,1,2020-01-31,2020-02-01,2020-02-01,광주,광산구갑,광주광산구갑,"CMB광주방송,투데이광주,중앙뉴스라인",유무선혼합,사용,ARS,502,4.1,피플네트웍스,2,100,60.2,,16.4,,,,,,,,,,,,,,10.2,8,5.2,,"이용빈, 김동철",https://www.nesdc.go.kr/files/result/202003/FILE_202002180713015230.pdf.htm,가상대결2
6450,광주광역시 광산구 국회의원선거 정당지지도,1,2020-01-17,2020-01-18,2020-01-19,광주,광산구갑,광주광산구갑,"남도일보,뉴스1광주전남취재본부",유무선혼합,사용,ARS,500,1.8,알앤써치,4,100,57.4,,7.1,,5,,,,,,,,,,,,,23.7,6.8,,"이용빈, 김동철, 정희성",https://www.nesdc.go.kr/files/result/202003/FILE_202001220525245030.pdf.htm,가상대결1
6606,광주광역시 광산구 국회의원선거정당지지도 광산구을,1,2020-02-24,2020-02-25,2020-02-25,전남,광주시광산구갑 국회의원선거구,광주광산구갑,뉴시스광주전남/무등일보/전남일보/광주·여수·목포MBC,유무선혼합,사용,전화면접,503,15.8,한국갤럽조사연구소,4,100.1,52.4,,10.3,3.5,2,,,,,,,,,,,,10.3,13.6,8,,"이용빈, 김동철, 나경채, 정희성",https://www.nesdc.go.kr/files/result/202003/FILE_202002261137564751.pdf.htm,가상대결
6613,광주광역시 남구 국회의원선거정당지지도,1,2020-02-23,2020-02-23,2020-02-23,광주,동구남구갑,광주동구남구갑,"뉴시스광주전남, 무등일보, 전남일보, 광주MBC, 여수MBC, 목포MBC",유무선혼합,사용,전화면접,502,18.5,한국갤럽조사연구소,2,100,43.8,,20.4,,,,,,,,,,,,,,8.7,14.4,12.7,,"윤영덕, 장병완",https://www.nesdc.go.kr/files/result/202003/FILE_202002250438190960.pdf.htm,가상대결
6514,광주광역시 남구 국회의원선거 정당지지도,1,2020-01-31,2020-02-01,2020-02-01,광주,동구남구갑,광주동구남구갑,"CMB광주방송,투데이광주,중앙뉴스라인",유무선혼합,사용,ARS,501,4.2,피플네트웍스,2,100,44,,23.4,,,,,,,,,,,,,,14.4,11.4,6.8,,"윤영덕, 장병완",https://www.nesdc.go.kr/files/result/202003/FILE_202002180701108670.pdf.htm,가상대결2
6440,광주광역시 전체 국회의원선거 동구남구갑,1,2020-01-18,2020-01-19,2020-01-20,광주,동구남구갑,광주동구남구갑,"광주일보, kbc광주방송",유무선혼합,사용,ARS,509,5.7,리얼미터,2,99.9,35.3,,23.4,,,,,,,,,,,,,,,24.7,16.5,,"윤영덕, 장병완",https://www.nesdc.go.kr/files/result/202003/FILE_202001221127340510.pdf.htm,가상대결B
6425,광주광역시 동구 국회의원선거 정당지지도,1,2020-01-17,2020-01-18,2020-01-19,광주,동구남구갑,광주동구남구갑,"남도일보,뉴스1광주전남취재본부",유무선혼합,사용,ARS,525,3.1,알앤써치,3,99.9,35.4,,17.2,,,,,,,,,,,,,,,37,10.3,,"윤영덕, 장병완",https://www.nesdc.go.kr/files/result/202003/FILE_202001220445557240.pdf.htm,가상대결
6390,광주광역시 남구 국회의원선거 정당지지도 쿠키뉴스 제 21대 국회의원 선거 특집 조사,1,2020-01-11,2020-01-12,2020-01-13,광주,동남구갑,광주동구남구갑,쿠키뉴스,유무선혼합,사용,ARS,510,3.9,조원씨앤아이,4,100,39,,14.9,,,,,,,,,,,,,,24.5,10.6,11,,"운영덕, 장병완",https://www.nesdc.go.kr/files/result/202003/FILE_202001141148263510.pdf.htm,양자대결
6515,광주광역시 동구 남구 국회의원선거 정당지지도,1,2020-01-31,2020-02-01,2020-02-01,광주,동구남구을,광주동구남구을,"CMB광주방송,투데이광주,중앙뉴스라인",유무선혼합,사용,ARS,502,4.5,피플네트웍스,3,100,49.5,,12.2,,,,25.7,,,,,,,,,,3.8,5.8,3,,"이병훈, 김성환, 박주선",https://www.nesdc.go.kr/files/result/202003/FILE_202002180700262350.pdf.htm,가상대결2
6444,광주광역시 전체 국회의원선거 동구남구을,1,2020-01-18,2020-01-19,2020-01-20,광주,동구남구을,광주동구남구을,"광주일보, kbc광주방송",유무선혼합,사용,ARS,505,7.2,리얼미터,2,99.9,58.4,,17.1,,,,,,,,,,,,,,,15.1,9.3,,"이병훈, 박주선",https://www.nesdc.go.kr/files/result/202003/FILE_202001221125149120.pdf.htm,가상대결B
6426,광주광역시 동구 국회의원선거 정당지지도,1,2020-01-17,2020-01-18,2020-01-19,광주,동구남구을,광주동구남구을,"남도일보,뉴스1광주전남취재본부",유무선혼합,사용,ARS,502,1.8,알앤써치,3,100,51.5,,11,,,,,,,,,,17.5,,,,,14.6,5.4,,"이병훈, 박주선, 김성환",https://www.nesdc.go.kr/files/result/202003/FILE_202001220453441770.pdf.htm,가상대결
6605,광주광역시 서구 국회의원선거정당지지도,1,2020-02-24,2020-02-25,2020-02-25,전남,광주시 서구을 국회의원선거구,광주서구을,뉴시스광주전남/무등일보/전남일보/광주·여수·목포MBC,유무선혼합,사용,전화면접,500,14.6,한국갤럽조사연구소,3,100.1,49.7,,16.5,6.8,,,,,,,,,,,,,6,12.5,8.6,,"양향자, 천정배, 유종천",https://www.nesdc.go.kr/files/result/202003/FILE_202002261138399391.pdf.htm,가상대결
6447,광주광역시 전체 국회의원선거 서구을,1,2020-01-18,2020-01-19,2020-01-20,광주,서구을,광주서구을,"광주일보, kbc광주방송",유무선혼합,사용,ARS,507,4.7,리얼미터,2,100,50,,24.9,,,,,,,,,,,,,,,16.5,8.6,,"양향자, 천정배",https://www.nesdc.go.kr/files/result/202003/FILE_202001220251569730.pdf.htm,가상대결B
6427,광주광역시 서구 국회의원선거 정당지지도,1,2020-01-17,2020-01-18,2020-01-19,광주,서구을,광주서구을,"남도일보,뉴스1광주전남취재본부",유무선혼합,사용,ARS,549,1.7,알앤써치,3,100,50.9,,18,8.7,,,,,,,,,,,,,,18.7,3.7,,"양향자, 유종천, 천정배",https://www.nesdc.go.kr/files/result/202003/FILE_202001220511236441.pdf.htm,가상대결
6678,서울특별시 광진구 국회의원선거 정당지지도 정기(정례)조사,1,2020-03-14,2020-03-15,2020-03-15,서울,광진구을,서울광진구을,MBC,유무선혼합,사용,전화면접,500,17.9,코리아리서치인터내셔널,2,100,41.7,39.8,,,,,,,,,,,,,,,7.3,8,3.2,,"고민정, 오세훈",https://www.nesdc.go.kr/files/result/202003/FILE_202003160226440101.pdf.htm,가상대결
